LEMMA	NOT-ENTAILED
is-actor	actress,author,poet,composer,playwright,writer,is-actress,is-author,is-poet,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
is-poet	actress,author,actor,composer,playwright,writer,is-actress,is-author,is-actor,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
is-composer	actress,author,actor,poet,playwright,writer,is-actress,is-author,is-actor,is-poet,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
is-playwright	actress,author,actor,poet,composer,is-actress,is-author,is-actor,is-poet,is-composer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-novelist,who-is-musician,who-is-philospher
is-writer	actress,author,actor,poet,composer,playwright,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-novelist,who-is-musician,who-is-philospher
novelist	actress,author,actor,poet,composer,playwright,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,musician,philospher,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-musician,who-is-philospher
musician	actress,author,actor,poet,composer,playwright,writer,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,philospher,is-novelist,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-philospher
philospher	actress,author,actor,poet,composer,playwright,writer,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,musician,is-novelist,is-musician,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician
is-novelist	actress,author,actor,poet,composer,playwright,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,novelist,musician,philospher,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-novelist,who-is-musician,who-is-philospher
is-musician	actress,author,actor,poet,composer,playwright,writer,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,philospher,is-novelist,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-philospher
is-philospher	actress,author,actor,poet,composer,playwright,writer,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,musician,is-novelist,is-musician,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician
who-is-actress	author,actor,poet,composer,playwright,writer,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
who-is-author	actress,actor,poet,composer,playwright,is-actress,is-actor,is-poet,is-composer,is-playwright,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-novelist,who-is-musician,who-is-philospher
who-is-actor	actress,author,poet,composer,playwright,writer,is-actress,is-author,is-poet,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
who-is-poet	actress,author,actor,composer,playwright,writer,is-actress,is-author,is-actor,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
who-is-composer	actress,author,actor,poet,playwright,writer,is-actress,is-author,is-actor,is-poet,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
who-is-playwright	actress,author,actor,poet,composer,is-actress,is-author,is-actor,is-poet,is-composer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-novelist,who-is-musician,who-is-philospher
who-is-writer	actress,author,actor,poet,composer,playwright,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-novelist,who-is-musician,who-is-philospher
who-is-novelist	actress,author,actor,poet,composer,playwright,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,musician,philospher,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-musician,who-is-philospher
who-is-musician	actress,author,actor,poet,composer,playwright,writer,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,philospher,is-novelist,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-philospher
who-is-philospher	actress,author,actor,poet,composer,playwright,writer,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,musician,is-novelist,is-musician,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician
